OBJECT_ID,FAMILY_ID,MECHANISM_ID,NAME,BLOCK,SOURCE_PROGRAM,SOURCE_REPORT,SOURCE_COMMIT,TIMEFRAME,DIRECTION,DATE_RANGE,VARIANTS,TRADES,BEST_VARIANT_EXP,STATUS,TRADE_LEVEL_DATA_AVAILABLE,TRADE_LOG_PATH,CAN_CAUSALLY_REGENERATE_TRADES,REGENERATOR,ATTRIBUTION_CLASS,KNOWN_DEFECTS,SUPERSEDES,SUPERSEDED_BY
M5_EVENT_REVEALED_DIRECTION_FACTORY_V1,M5_EVENT_REVEALED_DIRECTION_FACTORY_V1,M24_EVENT_REVEALED_RESPONSE,M5 Family A-E state machines,B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,fd0c7b7,varies,BOTH,varies,,,,NEGATIVE,NO,,YES,reports/alpha_discovery/*.py,B_REGENERATE_FROM_FROZEN_SPEC,native-M5 panel (2021+ only); family E outlier-dependent,,
OB_CAUSAL_EXECUTION_FACTORY_V1,OB_CAUSAL_EXECUTION_FACTORY_V1,M14_REFERENCE_LEVEL,OB causal executions (4 families),B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,934280a,varies,BOTH,varies,,,,NEGATIVE,YES,,YES,reports/alpha_discovery/*.py,A_VALID_TRADE_LOG_EXISTS,,OB_RETEST_FACTORY_V1,
OB_RETEST_FACTORY_V1,OB_RETEST_FACTORY_V1,M14_REFERENCE_LEVEL,OBR-BULL-1,B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,427a418,varies,BOTH,varies,,,,NEAR_MISS,NO,,YES,reports/alpha_discovery/*.py,B_REGENERATE_FROM_FROZEN_SPEC,SURVIVED=1 then FALSIFIED as a same-bar FILL ARTIFACT (934280a / STAT bd2a40e); corrected causal fill -0.067R,,OB_CAUSAL_EXECUTION_FACTORY_V1
P2_RANGE_LOW,P2_RANGE_LOW,M12_RANGE_ROTATION,Bottom-of-24h-range effect,B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,8693478,varies,BOTH,varies,,,,INVALID,NO,,NO,reports/alpha_discovery/*.py,D_NO_LEGITIMATE_TRADE_POPULATION,OVERLAP ARTIFACT (Alpha's own replication),,
SESSION_FRONTIER_SF1_SF3,SESSION_FRONTIER_SF1_SF3,M06_SESSION_TIME,Session events / ORB / whipsaw map,B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,adc81b0,varies,BOTH,varies,,,,INFORMATION_ONLY,NO,,YES,reports/alpha_discovery/*.py,B_REGENERATE_FROM_FROZEN_SPEC,"SF-3 is a NO_TRADE context asset, no trade population",,
SESSION_SPECIALIST_FACTORY_V1,SESSION_SPECIALIST_FACTORY_V1,M06_SESSION_TIME,Session specialists A-F,B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,29fcb12,varies,BOTH,varies,,,,NEGATIVE,YES,,YES,reports/alpha_discovery/*.py,A_VALID_TRADE_LOG_EXISTS,,,
TEMPORAL_SEQUENCE_MINING_V1,TEMPORAL_SEQUENCE_MINING_V1,M19_SEQUENCE_RUNLENGTH,Path/order sequence motifs,B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,f5a770e,varies,BOTH,varies,,,,NEGATIVE,NO,,YES,reports/alpha_discovery/*.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
V2_4_COILED,V2_4_COILED,M04_VOLATILITY_COMPRESSION_EXPANSION,Coiled-range timing state,B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,7d12f26,varies,BOTH,varies,,,,INVALID,NO,,NO,reports/alpha_discovery/*.py,D_NO_LEGITIMATE_TRADE_POPULATION,SESSION COMPOSITION CONFOUND (Alpha's own replication),,
VOLPATH_FRONTIER,VOLPATH_FRONTIER,M04_VOLATILITY_COMPRESSION_EXPANSION,Compression-expansion path (2 phases),B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,6092c8f,varies,BOTH,varies,,,,NEGATIVE,NO,,YES,reports/alpha_discovery/*.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
VOLTIME_FRONTIER,VOLTIME_FRONTIER,M04_VOLATILITY_COMPRESSION_EXPANSION,Volatility-timing families 1-5,B,post-S51 Alpha factory / frontier,reports/alpha_discovery/,1a96ce3,varies,BOTH,varies,,,,NEGATIVE,NO,,YES,reports/alpha_discovery/*.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
HTF_PBK_TREND,HTF,M07_TREND_CONTINUATION,HTF_PBK_TREND,C,ORDER_BLOCK / SESSION_SPECIALIST / HTF factories (2026),STRATEGY_OUTCOME_ATTRIBUTION_EDGE_RESCUE_V1 (270622a),,M15,BOTH,2011..2026,1,324,-0.0842,NEGATIVE,YES,reports/alpha_discovery/STRATEGY_ATTRIBUTION_MASTER_TABLE.csv,YES,htf_setups.py,A_VALID_TRADE_LOG_EXISTS,,,
HTF_RANGE_FADE,HTF,M12_RANGE_ROTATION,HTF_RANGE_FADE,C,ORDER_BLOCK / SESSION_SPECIALIST / HTF factories (2026),STRATEGY_OUTCOME_ATTRIBUTION_EDGE_RESCUE_V1 (270622a),,M15,BOTH,2011..2026,1,760,-0.1463,NEGATIVE,YES,reports/alpha_discovery/STRATEGY_ATTRIBUTION_MASTER_TABLE.csv,YES,htf_setups.py,A_VALID_TRADE_LOG_EXISTS,,,
HTF_RECLAIM,HTF,M11_STRUCTURE_BREAK_REVERSAL,HTF_RECLAIM,C,ORDER_BLOCK / SESSION_SPECIALIST / HTF factories (2026),STRATEGY_OUTCOME_ATTRIBUTION_EDGE_RESCUE_V1 (270622a),,M15,BOTH,2011..2026,1,6834,-0.1002,NEGATIVE,YES,reports/alpha_discovery/STRATEGY_ATTRIBUTION_MASTER_TABLE.csv,YES,htf_setups.py,A_VALID_TRADE_LOG_EXISTS,,,
HTF_TGT_BREAK,HTF,M03_BREAKOUT_RETEST,HTF_TGT_BREAK,C,ORDER_BLOCK / SESSION_SPECIALIST / HTF factories (2026),STRATEGY_OUTCOME_ATTRIBUTION_EDGE_RESCUE_V1 (270622a),,M15,BOTH,2011..2026,1,460,-0.0229,NEGATIVE,YES,reports/alpha_discovery/STRATEGY_ATTRIBUTION_MASTER_TABLE.csv,YES,htf_setups.py,A_VALID_TRADE_LOG_EXISTS,,,
OBEXEC_B,OBEXEC,M14_REFERENCE_LEVEL,OBEXEC_B,C,ORDER_BLOCK / SESSION_SPECIALIST / HTF factories (2026),STRATEGY_OUTCOME_ATTRIBUTION_EDGE_RESCUE_V1 (270622a),,M15,BOTH,2011..2026,1,2160,-0.2657,NEGATIVE,YES,reports/alpha_discovery/STRATEGY_ATTRIBUTION_MASTER_TABLE.csv,YES,ob_exec.py,A_VALID_TRADE_LOG_EXISTS,path (MFE/MAE) absent for OBR/OBEXEC,,
OBEXEC_C,OBEXEC,M14_REFERENCE_LEVEL,OBEXEC_C,C,ORDER_BLOCK / SESSION_SPECIALIST / HTF factories (2026),STRATEGY_OUTCOME_ATTRIBUTION_EDGE_RESCUE_V1 (270622a),,M15,BOTH,2011..2026,1,1896,-0.2057,NEGATIVE,YES,reports/alpha_discovery/STRATEGY_ATTRIBUTION_MASTER_TABLE.csv,YES,ob_exec.py,A_VALID_TRADE_LOG_EXISTS,path (MFE/MAE) absent for OBR/OBEXEC,,
OBEXEC_D,OBEXEC,M14_REFERENCE_LEVEL,OBEXEC_D,C,ORDER_BLOCK / SESSION_SPECIALIST / HTF factories (2026),STRATEGY_OUTCOME_ATTRIBUTION_EDGE_RESCUE_V1 (270622a),,M15,BOTH,2011..2026,1,955,-0.1853,NEGATIVE,YES,reports/alpha_discovery/STRATEGY_ATTRIBUTION_MASTER_TABLE.csv,YES,ob_exec.py,A_VALID_TRADE_LOG_EXISTS,path (MFE/MAE) absent for OBR/OBEXEC,,
OBR_A_limit,OBR,M14_REFERENCE_LEVEL,OBR_A_limit,C,ORDER_BLOCK / SESSION_SPECIALIST / HTF factories (2026),STRATEGY_OUTCOME_ATTRIBUTION_EDGE_RESCUE_V1 (270622a),,M15,BOTH,2011..2026,1,2486,-0.0673,NEGATIVE,YES,reports/alpha_discovery/STRATEGY_ATTRIBUTION_MASTER_TABLE.csv,YES,ob_core.py+ob_exec.py,A_VALID_TRADE_LOG_EXISTS,path (MFE/MAE) absent for OBR/OBEXEC,OBR fill-artifact version,
SESS_A,SESS,M06_SESSION_TIME,SESS_A,C,ORDER_BLOCK / SESSION_SPECIALIST / HTF factories (2026),STRATEGY_OUTCOME_ATTRIBUTION_EDGE_RESCUE_V1 (270622a),,M15,BOTH,2011..2026,1,3293,0.0098,NEGATIVE,YES,reports/alpha_discovery/STRATEGY_ATTRIBUTION_MASTER_TABLE.csv,YES,sess_core.py+sess_scan.py,A_VALID_TRADE_LOG_EXISTS,,,
SESS_B,SESS,M06_SESSION_TIME,SESS_B,C,ORDER_BLOCK / SESSION_SPECIALIST / HTF factories (2026),STRATEGY_OUTCOME_ATTRIBUTION_EDGE_RESCUE_V1 (270622a),,M15,BOTH,2011..2026,1,3056,-0.3656,NEGATIVE,YES,reports/alpha_discovery/STRATEGY_ATTRIBUTION_MASTER_TABLE.csv,YES,sess_core.py+sess_scan.py,A_VALID_TRADE_LOG_EXISTS,,,
SESS_C,SESS,M06_SESSION_TIME,SESS_C,C,ORDER_BLOCK / SESSION_SPECIALIST / HTF factories (2026),STRATEGY_OUTCOME_ATTRIBUTION_EDGE_RESCUE_V1 (270622a),,M15,BOTH,2011..2026,1,1748,-0.2791,NEGATIVE,YES,reports/alpha_discovery/STRATEGY_ATTRIBUTION_MASTER_TABLE.csv,YES,sess_core.py+sess_scan.py,A_VALID_TRADE_LOG_EXISTS,,,
SESS_D,SESS,M06_SESSION_TIME,SESS_D,C,ORDER_BLOCK / SESSION_SPECIALIST / HTF factories (2026),STRATEGY_OUTCOME_ATTRIBUTION_EDGE_RESCUE_V1 (270622a),,M15,BOTH,2011..2026,1,2784,-0.0267,NEGATIVE,YES,reports/alpha_discovery/STRATEGY_ATTRIBUTION_MASTER_TABLE.csv,YES,sess_core.py+sess_scan.py,A_VALID_TRADE_LOG_EXISTS,,,
SESS_E,SESS,M06_SESSION_TIME,SESS_E,C,ORDER_BLOCK / SESSION_SPECIALIST / HTF factories (2026),STRATEGY_OUTCOME_ATTRIBUTION_EDGE_RESCUE_V1 (270622a),,M15,BOTH,2011..2026,1,989,-0.1707,NEGATIVE,YES,reports/alpha_discovery/STRATEGY_ATTRIBUTION_MASTER_TABLE.csv,YES,sess_core.py+sess_scan.py,A_VALID_TRADE_LOG_EXISTS,,,
SESS_Fc,SESS,M06_SESSION_TIME,SESS_Fc,C,ORDER_BLOCK / SESSION_SPECIALIST / HTF factories (2026),STRATEGY_OUTCOME_ATTRIBUTION_EDGE_RESCUE_V1 (270622a),,M15,BOTH,2011..2026,1,2958,-0.1937,NEGATIVE,YES,reports/alpha_discovery/STRATEGY_ATTRIBUTION_MASTER_TABLE.csv,YES,sess_core.py+sess_scan.py,A_VALID_TRADE_LOG_EXISTS,,,
COMP_CONT_L_RR2,COMP_CONT_L_RR2,M07_TREND_CONTINUATION,Compression-timed LONG continuation,D,frozen candidate / independently reviewed,statistician/ + red_team/,,varies,,,,,,NEGATIVE,NO,,YES,frozen spec,B_REGENERATE_FROM_FROZEN_SPEC,STAT 1fb865d FAIL,,
CRS1_H4DIV_FADE_S,CRS1_H4DIV_FADE_S,M08_EXTENSION_MEAN_REVERSION,Current-regime H4-divergence fade SHORT,D,frozen candidate / independently reviewed,statistician/ + red_team/,,varies,,,,,,NEGATIVE,NO,,YES,frozen spec,B_REGENERATE_FROM_FROZEN_SPEC,STAT 4163382 FAIL (FDR); VE 91b7415 repaired an H4 lookahead that had collapsed avgR +0.45 -> +0.07,,
E015_ORDER_BLOCK_REMITIGATION,E015_ORDER_BLOCK_REMITIGATION,M14_REFERENCE_LEVEL,OB re-mitigation (edge_research),D,frozen candidate / independently reviewed,statistician/ + red_team/,,varies,,,,,,NEGATIVE,NO,,YES,frozen spec,B_REGENERATE_FROM_FROZEN_SPEC,,,
H4_BO_RAW_S,H4_BO_RAW_S,M03_BREAKOUT_RETEST,H4 raw-breakout SHORT (b0/b1 historical),D,frozen candidate / independently reviewed,statistician/ + red_team/,,varies,,,,,,NEAR_MISS,NO,,YES,frozen spec,B_REGENERATE_FROM_FROZEN_SPEC,STAT 3498069 PACKAGE_AUDIT_PASS but BLOCKED on evidence independence,,
HR_TU_PB_L,HR_TU_PB_L,M07_TREND_CONTINUATION,Frozen weak LONG trend-beta (pullback),D,frozen candidate / independently reviewed,statistician/ + red_team/,,varies,,,,,,NEGATIVE,NO,,YES,frozen spec,B_REGENERATE_FROM_FROZEN_SPEC,,,
MT_H4_DISPACCEPT_L,MT_H4_DISPACCEPT_L,M10_DISPLACEMENT_CONTINUATION,Frozen weak LONG displacement-accept,D,frozen candidate / independently reviewed,statistician/ + red_team/,,varies,,,,,,NEGATIVE,NO,,YES,frozen spec,B_REGENERATE_FROM_FROZEN_SPEC,,,
RANGE_LIFECYCLE_V4_4,RANGE_LIFECYCLE_V4_4,M12_RANGE_ROTATION,RANGE detector v4.4 (deployed baseline),D,frozen candidate / independently reviewed,statistician/ + red_team/,,varies,,,,,,VALIDATED,NO,,NO,frozen spec,D_NO_LEGITIMATE_TRADE_POPULATION,"detector/context, not a trade generator",,
RANGE_LIFECYCLE_VNEXT,RANGE_LIFECYCLE_VNEXT,M12_RANGE_ROTATION,RANGE vNext multi-candidate,D,frozen candidate / independently reviewed,statistician/ + red_team/,,varies,,,,,,INFORMATION_ONLY,NO,,NO,frozen spec,D_NO_LEGITIMATE_TRADE_POPULATION,research baseline only,,
S5_OPENING_RANGE,S5_OPENING_RANGE,M05_OPENING_RANGE,Opening-range momentum (the only deployed edge),D,frozen candidate / independently reviewed,statistician/ + red_team/,,varies,,,,,,VALIDATED,NO,,NO,frozen spec,D_NO_LEGITIMATE_TRADE_POPULATION,"PROTECTED -- mandate S18 forbids touching it; excluded from the attribution universe by protection, not by eligibility",,
CAND0001,CAND0001,M27_EDGE_RESEARCH_PATTERN,pdh pdl,E,edge_research (E-series / candidate series),edge_research/cand0001_pdh_pdl.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/cand0001_pdh_pdl.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
CAND0002,CAND0002,M27_EDGE_RESEARCH_PATTERN,compression expansion,E,edge_research (E-series / candidate series),edge_research/cand0002_compression_expansion.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/cand0002_compression_expansion.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
CAND0004,CAND0004,M27_EDGE_RESEARCH_PATTERN,void reaction,E,edge_research (E-series / candidate series),edge_research/cand0004_void_reaction.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/cand0004_void_reaction.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
CAND0005,CAND0005,M27_EDGE_RESEARCH_PATTERN,bpr reaction,E,edge_research (E-series / candidate series),edge_research/cand0005_bpr_reaction.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/cand0005_bpr_reaction.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
CAND0006,CAND0006,M27_EDGE_RESEARCH_PATTERN,weekly level,E,edge_research (E-series / candidate series),edge_research/cand0006_weekly_level.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/cand0006_weekly_level.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
CAND0009,CAND0009,M27_EDGE_RESEARCH_PATTERN,level break drive,E,edge_research (E-series / candidate series),edge_research/cand0009_level_break_drive.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/cand0009_level_break_drive.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
CAND0027,CAND0027,M27_EDGE_RESEARCH_PATTERN,session fade,E,edge_research (E-series / candidate series),edge_research/cand0027_session_fade.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/cand0027_session_fade.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
CAND0037,CAND0037,M27_EDGE_RESEARCH_PATTERN,canonical,E,edge_research (E-series / candidate series),edge_research/cand0037_canonical.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/cand0037_canonical.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
CAND0038,CAND0038,M27_EDGE_RESEARCH_PATTERN,weekly break displacement,E,edge_research (E-series / candidate series),edge_research/cand0038_weekly_break_displacement.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/cand0038_weekly_break_displacement.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
E005,E005,M27_EDGE_RESEARCH_PATTERN,london close reversal,E,edge_research (E-series / candidate series),edge_research/e005_london_close_reversal.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/e005_london_close_reversal.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
E006,E006,M27_EDGE_RESEARCH_PATTERN,asia range expansion,E,edge_research (E-series / candidate series),edge_research/e006_asia_range_expansion.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/e006_asia_range_expansion.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
E008,E008,M27_EDGE_RESEARCH_PATTERN,friday profit taking,E,edge_research (E-series / candidate series),edge_research/e008_friday_profit_taking.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/e008_friday_profit_taking.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
E009,E009,M27_EDGE_RESEARCH_PATTERN,choch retest,E,edge_research (E-series / candidate series),edge_research/e009_choch_retest.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/e009_choch_retest.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
E010,E010,M27_EDGE_RESEARCH_PATTERN,breaker block snatch,E,edge_research (E-series / candidate series),edge_research/e010_breaker_block_snatch.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/e010_breaker_block_snatch.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
E011,E011,M27_EDGE_RESEARCH_PATTERN,failed 3 drive pattern,E,edge_research (E-series / candidate series),edge_research/e011_failed_3_drive_pattern.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/e011_failed_3_drive_pattern.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
E012,E012,M27_EDGE_RESEARCH_PATTERN,inverted fvg,E,edge_research (E-series / candidate series),edge_research/e012_inverted_fvg.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/e012_inverted_fvg.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
E014,E014,M27_EDGE_RESEARCH_PATTERN,inside bar false breakout,E,edge_research (E-series / candidate series),edge_research/e014_inside_bar_false_breakout.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/e014_inside_bar_false_breakout.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
E015,E015,M27_EDGE_RESEARCH_PATTERN,order block remitigation,E,edge_research (E-series / candidate series),edge_research/e015_order_block_remitigation.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/e015_order_block_remitigation.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
E017,E017,M27_EDGE_RESEARCH_PATTERN,equal highs lows,E,edge_research (E-series / candidate series),edge_research/e017_equal_highs_lows.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/e017_equal_highs_lows.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
E025,E025,M27_EDGE_RESEARCH_PATTERN,round numbers,E,edge_research (E-series / candidate series),edge_research/e025_round_numbers.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/e025_round_numbers.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
E026,E026,M27_EDGE_RESEARCH_PATTERN,adr exhaustion,E,edge_research (E-series / candidate series),edge_research/e026_adr_exhaustion.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/e026_adr_exhaustion.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
E027,E027,M27_EDGE_RESEARCH_PATTERN,midnight open anchor,E,edge_research (E-series / candidate series),edge_research/e027_midnight_open_anchor.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/e027_midnight_open_anchor.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
E028,E028,M27_EDGE_RESEARCH_PATTERN,fibonacci ote,E,edge_research (E-series / candidate series),edge_research/e028_fibonacci_ote.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/e028_fibonacci_ote.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
E029,E029,M27_EDGE_RESEARCH_PATTERN,weekly gap fill,E,edge_research (E-series / candidate series),edge_research/e029_weekly_gap_fill.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/e029_weekly_gap_fill.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
E032,E032,M27_EDGE_RESEARCH_PATTERN,premium discount flip,E,edge_research (E-series / candidate series),edge_research/e032_premium_discount_flip.py,,M15,BOTH,pre-holdout split,,,,NEGATIVE,NO,,YES,edge_research/e032_premium_discount_flip.py,B_REGENERATE_FROM_FROZEN_SPEC,,,
